track,artist,date
Closer,Ne-Yo,2022-01-02T15:27
Playing with fire,Kovic,2022-01-02T15:23
You should be sad,Halsey,2022-01-02T15:20
Burning in the skies,Linkin Park,2022-01-02T15:17
Another day in paradise,Phil Collins,2022-01-02T15:14
Anxious,Dennis Lloyd,2022-01-02T15:10
Firestone,Kygo feat. Conrad,2022-01-02T15:07
Love again,Dua Lipa,2022-01-02T15:05
Dancing in the dirt,Glockenbach & Mougleta,2022-01-02T14:56
I don't care,Kyle Pearce,2022-01-02T14:53
Kreise,Johannes Oerding,2022-01-02T14:50
Bad habits,Ed Sheeran,2022-01-02T14:46
Take my breath away,Berlin,2022-01-02T14:41
Ease my mind,The Faim,2022-01-02T14:38
My baby left me,Rox,2022-01-02T14:34
Little bit of love,Tom Grennan,2022-01-02T14:30
Safe and sound,Capital Cities,2022-01-02T14:26
Paparazzi,Lady GaGa,2022-01-02T14:23
Looks like me,Dean Lewis,2022-01-02T14:20
You're gorgeous,Babybird,2022-01-02T14:16
Out out,Joel Corry feat. Charli XCX & Saweetie,2022-01-02T14:13
Cake by the ocean,DNCE,2022-01-02T14:07
Love under pressure,James Blunt,2022-01-02T14:05
Mamacita,Black Eyed Peas X Ozuna X J. Rey Soul,2022-01-02T13:56
Love on myself,Felix Jaehn feat. Calum Scott,2022-01-02T13:53
I'm yours,Jason Mraz,2022-01-02T13:50
I swear to god,Maël & Jonas,2022-01-02T13:47
Watermelon sugar,Harry Styles,2022-01-02T13:44
Timber,Pitbull feat. Ke$ha,2022-01-02T13:40
A little time,The Beautiful South,2022-01-02T13:36
Too much,Matt Simons,2022-01-02T13:33
Alright,Alle Farben feat. Kiddo,2022-01-02T13:30
Skin,Rag'n'bone Man,2022-01-02T13:26
Wot,Captain Sensible,2022-01-02T13:23
Enemy,Imagine Dragons x J.I.D,2022-01-02T13:19
Empire state of mind (Part II) / Broken down,Alicia Keys,2022-01-02T13:15
Colorado,Milky Chance,2022-01-02T13:12
Echt,Glasperlenspiel,2022-01-02T13:08
Heat waves,Glass Animals,2022-01-02T13:05
Hero,Family Of The Year,2022-01-02T12:56
Tell it to my heart,"Meduza, Hozier",2022-01-02T12:55
That's how it goes,Zoe Wees feat. 6lack,2022-01-02T12:52
Living on my own,Freddie Mercury,2022-01-02T12:50
Fake,Lola Young,2022-01-02T12:44
Circles,Post Malone,2022-01-02T12:41
La cintura,Álvaro Soler,2022-01-02T12:36
